Date,Time,Visitor,Visitor_Goals,Home,Home_Goals,OT,Winner,Loser,HPP,VPP
2016-01-27,9:30 PM,Nashville Predators,2,Calgary Flames,1,,Nashville Predators,Calgary Flames,0.5666666666666667,0.48333333333333334
2016-01-27,10:30 PM,Colorado Avalanche,4,Los Angeles Kings,3,,Colorado Avalanche,Los Angeles Kings,0.65,0.6333333333333333
2016-01-27,7:00 PM,Toronto Maple Leafs,0,Tampa Bay Lightning,1,,Tampa Bay Lightning,Toronto Maple Leafs,0.6333333333333333,0.48333333333333334
2016-01-27,8:00 PM,Philadelphia Flyers,4,Washington Capitals,3,OT,Philadelphia Flyers,Washington Capitals,0.8333333333333334,0.5833333333333334
2016-02-02,10:00 PM,San Jose Sharks,2,Anaheim Ducks,3,,Anaheim Ducks,San Jose Sharks,0.6166666666666667,0.6
2016-02-02,9:00 PM,Los Angeles Kings,6,Arizona Coyotes,2,,Los Angeles Kings,Arizona Coyotes,0.5333333333333333,0.65
2016-02-02,7:00 PM,Toronto Maple Leafs,4,Boston Bruins,3,OT,Toronto Maple Leafs,Boston Bruins,0.6,0.48333333333333334
2016-02-02,9:00 PM,Chicago Blackhawks,2,Colorado Avalanche,1,,Chicago Blackhawks,Colorado Avalanche,0.6666666666666666,0.7
2016-02-02,9:00 PM,Columbus Blue Jackets,1,Edmonton Oilers,5,,Edmonton Oilers,Columbus Blue Jackets,0.4666666666666667,0.45
2016-02-02,7:00 PM,New York Rangers,2,New Jersey Devils,3,,New Jersey Devils,New York Rangers,0.5333333333333333,0.48333333333333334
2016-02-02,8:00 PM,St. Louis Blues,1,Nashville Predators,0,,St. Louis Blues,Nashville Predators,0.5166666666666667,0.5666666666666667
2016-02-02,7:00 PM,Minnesota Wild,3,New York Islanders,5,,New York Islanders,Minnesota Wild,0.6166666666666667,0.5
2016-02-02,7:00 PM,Montreal Canadiens,2,Philadelphia Flyers,4,,Philadelphia Flyers,Montreal Canadiens,0.5833333333333334,0.36666666666666664
2016-02-02,7:00 PM,Ottawa Senators,5,Pittsburgh Penguins,6,,Pittsburgh Penguins,Ottawa Senators,0.55,0.45
2016-02-02,8:00 PM,Dallas Stars,5,Winnipeg Jets,3,,Dallas Stars,Winnipeg Jets,0.48333333333333334,0.5833333333333334
2016-02-02,7:30 PM,Florida Panthers,5,Washington Capitals,2,,Florida Panthers,Washington Capitals,0.8166666666666667,0.7333333333333333
2016-02-03,9:30 PM,Carolina Hurricanes,1,Calgary Flames,4,,Calgary Flames,Carolina Hurricanes,0.5333333333333333,0.6
2016-02-03,7:00 PM,Buffalo Sabres,4,Montreal Canadiens,2,,Buffalo Sabres,Montreal Canadiens,0.3333333333333333,0.43333333333333335
2016-02-03,8:00 PM,Detroit Red Wings,1,Tampa Bay Lightning,3,,Tampa Bay Lightning,Detroit Red Wings,0.65,0.6333333333333333
2016-02-04,9:00 PM,Chicago Blackhawks,5,Arizona Coyotes,4,OT,Chicago Blackhawks,Arizona Coyotes,0.5333333333333333,0.7166666666666667
2016-02-04,7:00 PM,Boston Bruins,3,Buffalo Sabres,2,SO,Boston Bruins,Buffalo Sabres,0.4666666666666667,0.5833333333333334
2016-02-04,9:00 PM,Dallas Stars,4,Colorado Avalanche,3,OT,Dallas Stars,Colorado Avalanche,0.6333333333333333,0.5833333333333334
2016-02-04,7:30 PM,Detroit Red Wings,3,Florida Panthers,6,,Florida Panthers,Detroit Red Wings,0.75,0.6
2016-02-04,10:00 PM,Anaheim Ducks,4,Los Angeles Kings,2,,Anaheim Ducks,Los Angeles Kings,0.6833333333333333,0.6166666666666667
2016-02-04,8:00 PM,Philadelphia Flyers,6,Nashville Predators,3,,Philadelphia Flyers,Nashville Predators,0.48333333333333334,0.6
2016-02-04,7:00 PM,Minnesota Wild,2,New York Rangers,4,,New York Rangers,Minnesota Wild,0.45,0.5
2016-02-04,7:30 PM,Edmonton Oilers,7,Ottawa Senators,2,,Edmonton Oilers,Ottawa Senators,0.4166666666666667,0.5
2016-02-04,8:00 PM,San Jose Sharks,3,St. Louis Blues,1,,San Jose Sharks,St. Louis Blues,0.5833333333333334,0.5666666666666667
2016-02-04,7:30 PM,New Jersey Devils,2,Toronto Maple Leafs,3,SO,Toronto Maple Leafs,New Jersey Devils,0.48333333333333334,0.5666666666666667
2016-02-04,10:00 PM,Columbus Blue Jackets,2,Vancouver Canucks,1,SO,Columbus Blue Jackets,Vancouver Canucks,0.5166666666666667,0.45
2016-02-04,7:30 PM,New York Islanders,2,Washington Capitals,3,,Washington Capitals,New York Islanders,0.8166666666666667,0.6166666666666667
2016-02-05,10:00 PM,Arizona Coyotes,2,Anaheim Ducks,5,,Anaheim Ducks,Arizona Coyotes,0.65,0.5166666666666667
2016-02-05,9:00 PM,Columbus Blue Jackets,2,Calgary Flames,1,,Columbus Blue Jackets,Calgary Flames,0.5666666666666667,0.45
2016-02-05,7:30 PM,Pittsburgh Penguins,3,Tampa Bay Lightning,6,,Tampa Bay Lightning,Pittsburgh Penguins,0.6833333333333333,0.55
2016-02-05,8:00 PM,Carolina Hurricanes,5,Winnipeg Jets,3,,Carolina Hurricanes,Winnipeg Jets,0.45,0.5666666666666667
2016-02-06,7:00 PM,Buffalo Sabres,1,Boston Bruins,2,OT,Boston Bruins,Buffalo Sabres,0.5833333333333334,0.48333333333333334
2016-02-06,10:00 PM,Winnipeg Jets,4,Colorado Avalanche,2,,Winnipeg Jets,Colorado Avalanche,0.65,0.4166666666666667
2016-02-06,8:00 PM,Chicago Blackhawks,5,Dallas Stars,1,,Chicago Blackhawks,Dallas Stars,0.6166666666666667,0.75
2016-02-06,2:00 PM,New York Islanders,1,Detroit Red Wings,5,,Detroit Red Wings,New York Islanders,0.5666666666666667,0.5833333333333334
2016-02-06,7:00 PM,Pittsburgh Penguins,3,Florida Panthers,2,OT,Pittsburgh Penguins,Florida Panthers,0.7833333333333333,0.55
2016-02-06,2:00 PM,Edmonton Oilers,1,Montreal Canadiens,5,,Montreal Canadiens,Edmonton Oilers,0.3,0.5333333333333333
2016-02-06,1:00 PM,Washington Capitals,3,New Jersey Devils,2,SO,Washington Capitals,New Jersey Devils,0.5666666666666667,0.8166666666666667
2016-02-06,8:00 PM,San Jose Sharks,2,Nashville Predators,6,,Nashville Predators,San Jose Sharks,0.4666666666666667,0.5666666666666667
2016-02-06,7:00 PM,Toronto Maple Leafs,1,Ottawa Senators,6,,Ottawa Senators,Toronto Maple Leafs,0.38333333333333336,0.48333333333333334
2016-02-06,1:00 PM,New York Rangers,3,Philadelphia Flyers,2,SO,New York Rangers,Philadelphia Flyers,0.6166666666666667,0.45
2016-02-06,8:00 PM,Minnesota Wild,1,St. Louis Blues,4,,St. Louis Blues,Minnesota Wild,0.55,0.5
2016-02-06,10:00 PM,Calgary Flames,4,Vancouver Canucks,1,,Calgary Flames,Vancouver Canucks,0.5,0.5333333333333333
2016-02-07,2:30 PM,Carolina Hurricanes,1,Montreal Canadiens,2,SO,Montreal Canadiens,Carolina Hurricanes,0.3,0.6
2016-02-07,2:30 PM,Edmonton Oilers,1,New York Islanders,8,,New York Islanders,Edmonton Oilers,0.5833333333333334,0.5166666666666667
2016-02-07,12:00 PM,Philadelphia Flyers,2,Washington Capitals,3,,Washington Capitals,Philadelphia Flyers,0.8166666666666667,0.6333333333333333
