 
Date,Time,Visitor,G,Home,G,,Att.,LOG,Notes
2021-03-15,10:00 PM,San Jose Sharks,1,Vegas Golden Knights,2,,3473,2:43,
2021-03-15,8:00 PM,Montreal Canadiens,4,Winnipeg Jets,2,,,2:30,
2021-03-16,9:00 PM,Anaheim Ducks,4,Colorado Avalanche,8,,,2:34,
2021-03-16,8:30 PM,Tampa Bay Lightning,4,Dallas Stars,3,SO,4057,2:43,
2021-03-16,7:30 PM,Carolina Hurricanes,2,Detroit Red Wings,4,,,2:28,
2021-03-16,8:00 PM,Arizona Coyotes,0,Minnesota Wild,3,,,2:23,
2021-03-16,7:00 PM,Buffalo Sabres,2,New Jersey Devils,3,,1800,2:27,
2021-03-16,7:00 PM,Boston Bruins,2,Pittsburgh Penguins,1,,2800,2:30,
2021-03-16,7:00 PM,New York Islanders,1,Washington Capitals,3,,,2:21,
2021-03-17,10:00 PM,Edmonton Oilers,7,Calgary Flames,3,,,2:23,
2021-03-17,10:00 PM,St. Louis Blues,1,Los Angeles Kings,4,,,2:24,
2021-03-17,7:30 PM,Philadelphia Flyers,0,New York Rangers,9,,1723,2:26,
2021-03-17,7:00 PM,Vancouver Canucks,3,Ottawa Senators,2,SO,,2:34,
2021-03-17,10:00 PM,San Jose Sharks,4,Vegas Golden Knights,5,,3473,2:32,
2021-03-17,9:00 PM,Montreal Canadiens,3,Winnipeg Jets,4,OT,,2:22,
2021-03-18,10:00 PM,Arizona Coyotes,2,Anaheim Ducks,3,OT,,2:28,
2021-03-18,7:00 PM,Boston Bruins,4,Buffalo Sabres,1,,,2:25,
2021-03-18,7:00 PM,Columbus Blue Jackets,3,Carolina Hurricanes,2,OT,2924,2:31,
2021-03-18,9:00 PM,Minnesota Wild,1,Colorado Avalanche,5,,,2:31,
2021-03-18,7:30 PM,Dallas Stars,2,Detroit Red Wings,3,,,2:27,
2021-03-18,9:00 PM,Winnipeg Jets,1,Edmonton Oilers,2,,,2:25,
2021-03-18,7:00 PM,Nashville Predators,2,Florida Panthers,1,,4559,2:30,
2021-03-18,7:00 PM,Pittsburgh Penguins,2,New Jersey Devils,3,,1800,2:33,
2021-03-18,7:00 PM,Philadelphia Flyers,4,New York Islanders,3,,1400,2:28,
2021-03-18,7:00 PM,Chicago Blackhawks,2,Tampa Bay Lightning,4,,3800,2:22,
2021-03-19,10:00 PM,Vegas Golden Knights,4,Los Angeles Kings,2,,,2:29,
2021-03-19,7:00 PM,Vancouver Canucks,3,Montreal Canadiens,2,OT,,2:28,
2021-03-19,9:00 PM,St. Louis Blues,2,San Jose Sharks,1,SO,,2:41,
2021-03-19,7:00 PM,Calgary Flames,4,Toronto Maple Leafs,3,,,2:25,
2021-03-19,7:00 PM,New York Rangers,1,Washington Capitals,2,,,2:20,
2021-03-20,8:00 PM,Arizona Coyotes,5,Anaheim Ducks,1,,,2:24,
2021-03-20,7:00 PM,Columbus Blue Jackets,3,Carolina Hurricanes,2,SO,2924,2:39,
2021-03-20,3:00 PM,Minnesota Wild,0,Colorado Avalanche,6,,,2:31,
2021-03-20,7:00 PM,Dallas Stars,3,Detroit Red Wings,0,,,2:20,
2021-03-20,10:00 PM,Winnipeg Jets,2,Edmonton Oilers,4,,,2:22,
2021-03-20,2:00 PM,Nashville Predators,0,Florida Panthers,2,,4358,2:22,
2021-03-20,7:00 PM,Vancouver Canucks,4,Montreal Canadiens,5,SO,,2:36,
2021-03-20,1:00 PM,Pittsburgh Penguins,3,New Jersey Devils,1,,1800,2:22,
2021-03-20,7:00 PM,Philadelphia Flyers,1,New York Islanders,6,,1400,2:18,
2021-03-20,9:00 PM,St. Louis Blues,5,San Jose Sharks,2,,,2:25,
2021-03-20,4:00 PM,Chicago Blackhawks,1,Tampa Bay Lightning,4,,3800,2:20,
2021-03-20,7:00 PM,Calgary Flames,0,Toronto Maple Leafs,2,,,2:25,
2021-03-20,7:00 PM,New York Rangers,3,Washington Capitals,1,,,2:28,
2021-03-21,8:30 PM,Nashville Predators,4,Dallas Stars,3,SO,4011,2:48,
